Estado,Sexo,Edad,¿Conoces a tu pareja hace más de 6 meses?,¿Antes de ser pareja fueron amigos?,¿Pueden hablar durante horas sin aburrirse?,¿Comparten mucho tiempo juntos?,¿Se aceptan cada uno tal y como son?,¿Se visualizan a futuro juntos?,¿Cada uno apoya los proyectos y sueños del otro?,"¿Tu pareja le cae bien a tu familia y amigos, y viceversa?",¿Conversan las cosas en lugar de discutir?,"¿Sientes que hay conexión emocional, intelectual y sexual?",¿Pueden estar en silencio juntos sin sentir incomodidad?,¿Suelen entender cómo se siente el otro sin necesidad de palabras?,¿Hablan abiertamente de sus miedos o inseguridades?,¿Evitan guardar resentimientos por cosas no dichas?,¿Disfrutan de al menos una actividad o hobby en común?,"¿Respetan los espacios individuales del otro (tiempo solo/a, amistades, etc.)?",¿Confiarías en tu pareja si tuviera una amistad cercana con alguien del sexo opuesto?,¿Crees que tu pareja nunca te humillaría en público?,¿Apoyarías a tu pareja si decidiera estudiar o trabajar lejos por un tiempo?,¿Intentan buscar soluciones en lugar de culparse mutuamente?,¿Alguna vez han considerado terminar la relación por un conflicto grave?,¿La falta de intimidad física sería un motivo de ruptura para ti?,¿Crees que el cariño ha aumentado con el tiempo?,¿Alguna vez has dudado de su amor por ti? ,¿Esta relación te ha ayudado a crecer como persona?,¿Te molesta que tu pareja tenga amistades muy cercanas del sexo opuesto?,"¿Crees que los detalles pequeños (ej. un café, un mensaje) son clave en la relación?"," ¿Tu pareja recuerda detalles importantes para ti (cumpleaños, gustos, etc.)?",¿Sientes que tu pareja te idealiza en lugar de aceptar tus defectos?,¿Tu pareja se disculpa cuando se equivoca?,¿Tu pareja evita compararte con sus ex?,¿Crees que su relación es más fuerte ahora que al inicio?,¿Te sientes cómodo y que puedes ser tu mismo al estar con tu pareja?,PuntajeTotal,Funcionalidad,Indicador,Riesgo
0,1,22.0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,23,0,5,1
0,1,22.0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,20,0,3,0
0,0,26.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,12,0,4,0
1,1,22.0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,29,1,6,1
0,1,21.0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,26,1,3,0
0,1,22.0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,27,1,4,0
1,1,22.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,26,1,5,1
0,0,18.0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,24,0,3,0
0,1,20.0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,27,1,5,1
0,1,22.0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,25,1,5,1
0,0,22.0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,21,0,6,1
1,1,21.0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,23,0,6,1
1,0,22.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,29,1,4,0
1,0,21.0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,28,1,5,1
1,1,22.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,29,1,4,0
1,0,21.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,27,1,3,0
0,1,22.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,25,1,2,0
0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
